State,2020,2021
Florida,4.9,4.7
Nebraska,3.1,2.9
Ohio,4.9,4.7
Montana,3.8,3.8
South Dakota,2.9,2.9
Washington,5.3,5.4
Wyoming,5.1,5.3
Mississippi,6,6.3
New Hampshire,2.7,3
Vermont,2.6,2.9
Utah,2.5,2.9
Arkansas,3.9,4.4
Idaho,2.7,3.2
Kansas,3.2,3.7
Missouri,3.7,4.2
Indiana,3.3,3.9
West Virginia,5.3,5.9
Wisconsin,3.2,3.8
Minnesota,3.5,4.2
Iowa,2.9,3.7
Kentucky,4.2,5
Georgia,3.6,4.5
Oklahoma,3.2,4.2
Tennessee,4,5
Alabama,2.6,3.8
North Carolina,3.9,5.2
Michigan,3.7,5.1
Alaska,5.1,6.6
Arizona,5,6.7
Colorado,4.7,6.4
Delaware,4.8,6.5
Maine,3.1,4.8
Nevada,6.4,8.1
Louisiana,5.3,7.3
Texas,4.9,6.9
North Dakota,2.3,4.4
South Carolina,3,5.1
Pennsylvania,5.1,7.3
Oregon,3.6,6
Virginia,2.6,5.1
District of Columbia,5.2,7.8
Maryland,3.5,6.2
New Mexico,5.4,8.3
Rhode Island,4,7.1
Illinois,3.7,7.1
California,4.5,8.3
New Jersey,3.8,7.7
Massachusetts,2.7,6.8
Connecticut,3.8,8.3
New York,3.9,8.5
Hawaii,2.1,9
